n,s,time_in_milliseconds
1024,2,4232
1024,2,4292
1024,2,4297
1024,2,4230
1024,2,4166
1024,2,4242
1024,2,4063
1024,2,3887
1024,2,4392
1024,2,4059
1024,4,3941
1024,4,3998
1024,4,4019
1024,4,4010
1024,4,3928
1024,4,3990
1024,4,4274
1024,4,3805
1024,4,4091
1024,4,4219
1024,8,4011
1024,8,4154
1024,8,3864
1024,8,3900
1024,8,4010
1024,8,4341
1024,8,4125
1024,8,4089
1024,8,4299
1024,8,3861
1024,16,4161
1024,16,4181
1024,16,3998
1024,16,4051
1024,16,4167
1024,16,4431
1024,16,4678
1024,16,4258
1024,16,4171
1024,16,3819
1024,32,4103
1024,32,3926
1024,32,4254
1024,32,4100
1024,32,3765
1024,32,3897
1024,32,4190
1024,32,3965
1024,32,4009
1024,32,3537
1024,64,4050
1024,64,4041
1024,64,4227
1024,64,4298
1024,64,4019
1024,64,4015
1024,64,4182
1024,64,4268
1024,64,4176
1024,64,4161
1024,128,4185
1024,128,4326
1024,128,3879
1024,128,3923
1024,128,4324
1024,128,3747
1024,128,3966
1024,128,4302
1024,128,4046
1024,128,3723
1024,256,4402
1024,256,4160
1024,256,3893
1024,256,4414
1024,256,4427
1024,256,4392
1024,256,4158
1024,256,4112
1024,256,4055
1024,256,4168
1024,512,3965
1024,512,4179
1024,512,4058
1024,512,4359
1024,512,4179
1024,512,4294
1024,512,4563
1024,512,4340
1024,512,4522
1024,512,4805
2048,2,58806
2048,2,54529
2048,2,51677
2048,2,50495
2048,2,50250
2048,2,50794
2048,2,52493
2048,2,51539
2048,2,50814
2048,2,50481
2048,4,51018
2048,4,53042
2048,4,55803
2048,4,50953
2048,4,50569
2048,4,51098
2048,4,50873
2048,4,50699
2048,4,50923
2048,4,50929
2048,8,50479
2048,8,50666
2048,8,50796
2048,8,52344
2048,8,52776
2048,8,51692
2048,8,50350
2048,8,50355
2048,8,50726
2048,8,51126
2048,16,52566
2048,16,50869
2048,16,51444
2048,16,51324
2048,16,52876
2048,16,51688
2048,16,51026
2048,16,50381
2048,16,50734
2048,16,50612
2048,32,51542
2048,32,50812
2048,32,50814
2048,32,50954
2048,32,50480
2048,32,52542
2048,32,51747
2048,32,51788
2048,32,51679
2048,32,51991
2048,64,51986
2048,64,51757
2048,64,52069
2048,64,52045
2048,64,52483
2048,64,51696
2048,64,51693
2048,64,51271
2048,64,52191
2048,64,53185
2048,128,52260
2048,128,52049
2048,128,51241
2048,128,50665
2048,128,50519
2048,128,51443
2048,128,50656
2048,128,50618
2048,128,50871
2048,128,52256
2048,256,51701
2048,256,54904
2048,256,51402
2048,256,50855
2048,256,51172
2048,256,50948
2048,256,51396
2048,256,52431
2048,256,50894
2048,256,51066
2048,512,51318
2048,512,50612
2048,512,50668
2048,512,51273
2048,512,51469
2048,512,50940
2048,512,50702
2048,512,51155
2048,512,51049
2048,512,52110
2048,1024,51565
2048,1024,51548
2048,1024,51568
2048,1024,52026
2048,1024,51644
2048,1024,51552
2048,1024,51418
2048,1024,51525
2048,1024,51576
2048,1024,51411
4096,2,timeout
4096,4,timeout
4096,8,timeout
4096,16,timeout
4096,32,timeout
4096,64,timeout
4096,128,timeout
4096,256,timeout
4096,512,timeout
4096,1024,timeout
4096,2048,timeout
