n,s,time_in_milliseconds
1024,2,4977
1024,2,5040
1024,2,5098
1024,2,5147
1024,2,5136
1024,2,4899
1024,2,4743
1024,2,4686
1024,2,4673
1024,2,4638
1024,4,2490
1024,4,2414
1024,4,2196
1024,4,2467
1024,4,2173
1024,4,2155
1024,4,2469
1024,4,2423
1024,4,2369
1024,4,2345
1024,8,2173
1024,8,2252
1024,8,2277
1024,8,2132
1024,8,2202
1024,8,2131
1024,8,2182
1024,8,2285
1024,8,2180
1024,8,2180
1024,16,4932
1024,16,4960
1024,16,4905
1024,16,4878
1024,16,4829
1024,16,4952
1024,16,4945
1024,16,4819
1024,16,4854
1024,16,4911
1024,32,5926
1024,32,5854
1024,32,5630
1024,32,5774
1024,32,5634
1024,32,5625
1024,32,5692
1024,32,5704
1024,32,5665
1024,32,5740
1024,64,5880
1024,64,6111
1024,64,5912
1024,64,5844
1024,64,5972
1024,64,5810
1024,64,5831
1024,64,5796
1024,64,5847
1024,64,5678
1024,128,4131
1024,128,3268
1024,128,3218
1024,128,3136
1024,128,4113
1024,128,4128
1024,128,3139
1024,128,4139
1024,128,4112
1024,128,4124
1024,256,3445
1024,256,3437
1024,256,3414
1024,256,3463
1024,256,3418
1024,256,3453
1024,256,3451
1024,256,3541
1024,256,3522
1024,256,3432
1024,512,3064
1024,512,3436
1024,512,3062
1024,512,3440
1024,512,3083
1024,512,3391
1024,512,3553
1024,512,3434
1024,512,3409
1024,512,3406
2048,2,32997
2048,2,32973
2048,2,34029
2048,2,33043
2048,2,33087
2048,2,32634
2048,2,32990
2048,2,33196
2048,2,33317
2048,2,32737
2048,4,16359
2048,4,16238
2048,4,16144
2048,4,16248
2048,4,16178
2048,4,18257
2048,4,16308
2048,4,16212
2048,4,16474
2048,4,18234
2048,8,15618
2048,8,15657
2048,8,15907
2048,8,15532
2048,8,15737
2048,8,15586
2048,8,15363
2048,8,15815
2048,8,15644
2048,8,15656
2048,16,36201
2048,16,36281
2048,16,36398
2048,16,36225
2048,16,36247
2048,16,36207
2048,16,36335
2048,16,36395
2048,16,36324
2048,16,36220
2048,32,36381
2048,32,36075
2048,32,35999
2048,32,35883
2048,32,36364
2048,32,36716
2048,32,36626
2048,32,36282
2048,32,36496
2048,32,37337
2048,64,36445
2048,64,36169
2048,64,36384
2048,64,36415
2048,64,37100
2048,64,36379
2048,64,37114
2048,64,36350
2048,64,36215
2048,64,36280
2048,128,36464
2048,128,36378
2048,128,36555
2048,128,36299
2048,128,33476
2048,128,36458
2048,128,36262
2048,128,33334
2048,128,36238
2048,128,36455
2048,256,38020
2048,256,37914
2048,256,38082
2048,256,38345
2048,256,39070
2048,256,38306
2048,256,38095
2048,256,38583
2048,256,39208
2048,256,38778
2048,512,40525
2048,512,41052
2048,512,40377
2048,512,41084
2048,512,42500
2048,512,40676
2048,512,40384
2048,512,39938
2048,512,41017
2048,512,41137
2048,1024,50359
2048,1024,51062
2048,1024,50545
2048,1024,50883
2048,1024,51091
2048,1024,50482
2048,1024,51868
2048,1024,51365
2048,1024,51410
2048,1024,51165
4096,2,timeout
4096,4,136936
4096,4,137060
4096,4,138231
4096,4,138944
4096,4,129040
4096,4,138620
4096,4,138682
4096,4,130404
4096,4,155099
4096,4,138127
4096,8,123597
4096,8,124693
4096,8,123585
4096,8,123905
4096,8,123922
4096,8,122458
4096,8,122438
4096,8,122684
4096,8,125338
4096,8,123409
4096,16,timeout
4096,32,timeout
4096,64,timeout
4096,128,timeout
4096,256,timeout
4096,512,timeout
4096,1024,timeout
4096,2048,timeout
