n,s,time_in_milliseconds
1024,2,11341
1024,2,10009
1024,2,9752
1024,2,9961
1024,2,9920
1024,2,9999
1024,2,9903
1024,2,9648
1024,2,9222
1024,2,9183
1024,4,3623
1024,4,3595
1024,4,6218
1024,4,5862
1024,4,5706
1024,4,3873
1024,4,5966
1024,4,4308
1024,4,3538
1024,4,6190
1024,8,2166
1024,8,2190
1024,8,2274
1024,8,2344
1024,8,2278
1024,8,2113
1024,8,2342
1024,8,2217
1024,8,2544
1024,8,2160
1024,16,1622
1024,16,1699
1024,16,1600
1024,16,1566
1024,16,1810
1024,16,1585
1024,16,1921
1024,16,1501
1024,16,1515
1024,16,1738
1024,32,1171
1024,32,1184
1024,32,965
1024,32,1230
1024,32,1095
1024,32,1210
1024,32,1265
1024,32,1211
1024,32,1162
1024,32,1271
1024,64,857
1024,64,860
1024,64,883
1024,64,863
1024,64,917
1024,64,850
1024,64,980
1024,64,895
1024,64,903
1024,64,857
1024,128,1053
1024,128,1070
1024,128,1077
1024,128,1086
1024,128,996
1024,128,1026
1024,128,1081
1024,128,1012
1024,128,1014
1024,128,1074
1024,256,1094
1024,256,1121
1024,256,1131
1024,256,1110
1024,256,1081
1024,256,1142
1024,256,1091
1024,256,1105
1024,256,1121
1024,256,1154
1024,512,2094
1024,512,2048
1024,512,1836
1024,512,2295
1024,512,1993
1024,512,2175
1024,512,2063
1024,512,2072
1024,512,2101
1024,512,2117
2048,2,68759
2048,2,57983
2048,2,46156
2048,2,47793
2048,2,48305
2048,2,154095
2048,2,145645
2048,2,47933
2048,2,49996
2048,2,46202
2048,4,19052
2048,4,20128
2048,4,21046
2048,4,41293
2048,4,17773
2048,4,18872
2048,4,17893
2048,4,17308
2048,4,20841
2048,4,17862
2048,8,10435
2048,8,10588
2048,8,10294
2048,8,10381
2048,8,10672
2048,8,10544
2048,8,10651
2048,8,10505
2048,8,11157
2048,8,10655
2048,16,7575
2048,16,7531
2048,16,7675
2048,16,7638
2048,16,7739
2048,16,7753
2048,16,7683
2048,16,7961
2048,16,7569
2048,16,7834
2048,32,5286
2048,32,6561
2048,32,6594
2048,32,6591
2048,32,6444
2048,32,5621
2048,32,5973
2048,32,6525
2048,32,6694
2048,32,6001
2048,64,4425
2048,64,5091
2048,64,5041
2048,64,5129
2048,64,4345
2048,64,4342
2048,64,4445
2048,64,4412
2048,64,4356
2048,64,4349
2048,128,5353
2048,128,5361
2048,128,5359
2048,128,5349
2048,128,5346
2048,128,5356
2048,128,5340
2048,128,5354
2048,128,5479
2048,128,5356
2048,256,5792
2048,256,5776
2048,256,5810
2048,256,5781
2048,256,5798
2048,256,5806
2048,256,5775
2048,256,5828
2048,256,5900
2048,256,5784
2048,512,11061
2048,512,10947
2048,512,11049
2048,512,11122
2048,512,11328
2048,512,10958
2048,512,10895
2048,512,11007
2048,512,10926
2048,512,11101
2048,1024,28821
2048,1024,29430
2048,1024,29116
2048,1024,28888
2048,1024,29664
2048,1024,29039
2048,1024,28604
2048,1024,29312
2048,1024,30002
2048,1024,29707
4096,2,timeout
4096,4,timeout
4096,8,timeout
4096,16,141693
4096,16,123744
4096,16,59417
4096,16,40665
4096,16,41400
4096,16,43382
4096,16,48482
4096,16,40417
4096,16,42297
4096,16,41043
4096,32,34455
4096,32,36759
4096,32,32104
4096,32,35680
4096,32,40244
4096,32,40053
4096,32,32798
4096,32,32363
4096,32,35930
4096,32,36652
4096,64,30078
4096,64,29943
4096,64,35106
4096,64,29996
4096,64,30148
4096,64,29854
4096,64,34324
4096,64,29878
4096,64,34696
4096,64,30032
4096,128,36920
4096,128,36763
4096,128,37026
4096,128,37388
4096,128,36708
4096,128,37102
4096,128,37278
4096,128,36659
4096,128,37648
4096,128,36571
4096,256,40418
4096,256,40227
4096,256,40382
4096,256,40136
4096,256,40149
4096,256,39977
4096,256,39989
4096,256,40172
4096,256,41178
4096,256,41747
4096,512,78244
4096,512,77398
4096,512,80152
4096,512,78529
4096,512,79581
4096,512,77105
4096,512,79672
4096,512,80430
4096,512,76680
4096,512,77528
4096,1024,207970
4096,1024,203633
4096,1024,199781
4096,1024,198982
4096,1024,202841
4096,1024,207764
4096,1024,207380
4096,1024,203016
4096,1024,202080
4096,1024,203806
4096,2048,timeout
