n,s,time_in_milliseconds
1024,2,4985
1024,2,5004
1024,2,3913
1024,2,4418
1024,2,4497
1024,2,4917
1024,2,4322
1024,2,4897
1024,2,4317
1024,2,4401
1024,4,2299
1024,4,2013
1024,4,2455
1024,4,2001
1024,4,2236
1024,4,2030
1024,4,2232
1024,4,2030
1024,4,2037
1024,4,2021
1024,8,1608
1024,8,1590
1024,8,1558
1024,8,1615
1024,8,1585
1024,8,1590
1024,8,1607
1024,8,1604
1024,8,1594
1024,8,1613
1024,16,3609
1024,16,3611
1024,16,3616
1024,16,3704
1024,16,3708
1024,16,3618
1024,16,3662
1024,16,3612
1024,16,3610
1024,16,3613
1024,32,4005
1024,32,4044
1024,32,3985
1024,32,4006
1024,32,4009
1024,32,3993
1024,32,3993
1024,32,4031
1024,32,4133
1024,32,4151
1024,64,3735
1024,64,3734
1024,64,3717
1024,64,3713
1024,64,3713
1024,64,3732
1024,64,3689
1024,64,3706
1024,64,3725
1024,64,3706
1024,128,3467
1024,128,3492
1024,128,3505
1024,128,3485
1024,128,3588
1024,128,3555
1024,128,3457
1024,128,3471
1024,128,3524
1024,128,3510
1024,256,3127
1024,256,3109
1024,256,3123
1024,256,3160
1024,256,3102
1024,256,3148
1024,256,3104
1024,256,3136
1024,256,3151
1024,256,3145
1024,512,3278
1024,512,3346
1024,512,3347
1024,512,3271
1024,512,3244
1024,512,3280
1024,512,3222
1024,512,3283
1024,512,3275
1024,512,3205
2048,2,94137
2048,2,100491
2048,2,102170
2048,2,91167
2048,2,95603
2048,2,99983
2048,2,100719
2048,2,100502
2048,2,100115
2048,2,96737
2048,4,32942
2048,4,25946
2048,4,30094
2048,4,25962
2048,4,27864
2048,4,29090
2048,4,29035
2048,4,27722
2048,4,29608
2048,4,25457
2048,8,12131
2048,8,12039
2048,8,12188
2048,8,12051
2048,8,12035
2048,8,12048
2048,8,12039
2048,8,12221
2048,8,12038
2048,8,12042
2048,16,34188
2048,16,34213
2048,16,34246
2048,16,34106
2048,16,33852
2048,16,34703
2048,16,33668
2048,16,34122
2048,16,34699
2048,16,34250
2048,32,33501
2048,32,33111
2048,32,33469
2048,32,33814
2048,32,33558
2048,32,30999
2048,32,33599
2048,32,33746
2048,32,33542
2048,32,33679
2048,64,34036
2048,64,33966
2048,64,33983
2048,64,33818
2048,64,33978
2048,64,33799
2048,64,33955
2048,64,34038
2048,64,33808
2048,64,34319
2048,128,35208
2048,128,34187
2048,128,33967
2048,128,34100
2048,128,34209
2048,128,34188
2048,128,33895
2048,128,34099
2048,128,34185
2048,128,34091
2048,256,36438
2048,256,36356
2048,256,36261
2048,256,36339
2048,256,35906
2048,256,36341
2048,256,30770
2048,256,36293
2048,256,36146
2048,256,36239
2048,512,39557
2048,512,39230
2048,512,39050
2048,512,38799
2048,512,39311
2048,512,37669
2048,512,39038
2048,512,38078
2048,512,38666
2048,512,38631
2048,1024,48833
2048,1024,49053
2048,1024,49041
2048,1024,49039
2048,1024,48911
2048,1024,49102
2048,1024,50250
2048,1024,49650
2048,1024,50328
2048,1024,49641
4096,2,timeout
4096,4,timeout
4096,8,111306
4096,8,108745
4096,8,108700
4096,8,110311
4096,8,99972
4096,8,101013
4096,8,100407
4096,8,98182
4096,8,97407
4096,8,97725
4096,16,timeout
4096,32,timeout
4096,64,timeout
4096,128,timeout
4096,256,timeout
4096,512,timeout
4096,1024,timeout
4096,2048,timeout
