n,s,time_in_milliseconds
1024,2,1399
1024,2,1434
1024,2,1485
1024,2,1410
1024,2,1317
1024,2,1330
1024,2,1360
1024,2,1338
1024,2,1433
1024,2,1405
1024,4,1433
1024,4,1385
1024,4,1387
1024,4,1349
1024,4,1360
1024,4,1356
1024,4,1409
1024,4,1370
1024,4,1349
1024,4,1377
1024,8,1375
1024,8,1375
1024,8,1374
1024,8,1396
1024,8,1401
1024,8,1406
1024,8,1372
1024,8,1332
1024,8,1331
1024,8,1346
1024,16,1481
1024,16,1431
1024,16,1425
1024,16,1407
1024,16,1389
1024,16,1399
1024,16,1402
1024,16,1418
1024,16,1420
1024,16,1405
1024,32,1516
1024,32,1545
1024,32,1388
1024,32,1437
1024,32,1417
1024,32,1382
1024,32,1376
1024,32,1398
1024,32,1400
1024,32,1388
1024,64,1388
1024,64,1380
1024,64,1431
1024,64,1380
1024,64,1342
1024,64,1372
1024,64,1409
1024,64,1359
1024,64,1381
1024,64,1422
1024,128,1432
1024,128,1416
1024,128,1414
1024,128,1416
1024,128,1408
1024,128,1349
1024,128,1346
1024,128,1357
1024,128,1371
1024,128,1398
1024,256,1385
1024,256,1393
1024,256,1388
1024,256,1406
1024,256,1393
1024,256,1400
1024,256,1365
1024,256,1399
1024,256,1411
1024,256,1407
1024,512,1429
1024,512,1436
1024,512,1395
1024,512,1433
1024,512,1413
1024,512,1391
1024,512,1528
1024,512,1421
1024,512,1400
1024,512,1437
2048,2,11188
2048,2,10899
2048,2,11095
2048,2,10861
2048,2,10306
2048,2,10514
2048,2,10159
2048,2,10233
2048,2,10244
2048,2,10168
2048,4,10712
2048,4,10980
2048,4,10421
2048,4,10312
2048,4,10137
2048,4,10160
2048,4,10315
2048,4,10813
2048,4,10350
2048,4,10191
2048,8,9674
2048,8,9258
2048,8,9498
2048,8,9033
2048,8,9109
2048,8,9196
2048,8,9354
2048,8,9193
2048,8,8869
2048,8,9140
2048,16,9362
2048,16,9251
2048,16,8962
2048,16,9070
2048,16,8391
2048,16,8441
2048,16,8372
2048,16,8324
2048,16,8386
2048,16,8344
2048,32,8372
2048,32,8308
2048,32,8428
2048,32,8445
2048,32,8300
2048,32,8257
2048,32,8332
2048,32,8287
2048,32,8269
2048,32,8347
2048,64,8371
2048,64,8259
2048,64,8267
2048,64,8316
2048,64,8358
2048,64,8277
2048,64,8366
2048,64,8370
2048,64,8282
2048,64,8288
2048,128,8359
2048,128,8329
2048,128,8368
2048,128,8387
2048,128,8332
2048,128,8254
2048,128,8262
2048,128,8336
2048,128,8259
2048,128,8315
2048,256,10348
2048,256,8365
2048,256,8299
2048,256,8293
2048,256,8256
2048,256,8253
2048,256,8321
2048,256,8425
2048,256,8452
2048,256,8262
2048,512,8306
2048,512,8339
2048,512,8311
2048,512,8314
2048,512,8366
2048,512,8376
2048,512,8276
2048,512,8343
2048,512,8350
2048,512,8249
2048,1024,8267
2048,1024,8350
2048,1024,8342
2048,1024,8465
2048,1024,8323
2048,1024,8275
2048,1024,8293
2048,1024,8254
2048,1024,8338
2048,1024,8351
4096,2,67840
4096,2,66332
4096,2,66221
4096,2,66122
4096,2,66119
4096,2,66172
4096,2,66273
4096,2,66097
4096,2,66034
4096,2,65904
4096,4,66216
4096,4,66339
4096,4,66116
4096,4,66546
4096,4,66282
4096,4,66049
4096,4,66002
4096,4,66025
4096,4,66029
4096,4,66552
4096,8,66428
4096,8,66216
4096,8,66303
4096,8,66403
4096,8,66160
4096,8,66386
4096,8,66271
4096,8,66381
4096,8,66314
4096,8,66370
4096,16,66235
4096,16,66279
4096,16,66339
4096,16,66113
4096,16,66418
4096,16,66295
4096,16,66335
4096,16,66288
4096,16,66409
4096,16,66390
4096,32,66297
4096,32,66376
4096,32,66259
4096,32,66450
4096,32,66349
4096,32,66277
4096,32,66441
4096,32,66481
4096,32,66402
4096,32,66373
4096,64,66307
4096,64,66201
4096,64,66408
4096,64,66270
4096,64,66242
4096,64,66213
4096,64,66328
4096,64,66383
4096,64,66334
4096,64,66396
4096,128,66225
4096,128,66353
4096,128,66267
4096,128,66354
4096,128,66242
4096,128,66291
4096,128,66261
4096,128,66314
4096,128,66304
4096,128,66188
4096,256,66081
4096,256,66249
4096,256,66277
4096,256,66443
4096,256,66439
4096,256,66352
4096,256,66318
4096,256,66199
4096,256,66151
4096,256,66070
4096,512,66240
4096,512,66372
4096,512,66250
4096,512,66347
4096,512,66369
4096,512,66292
4096,512,66448
4096,512,67077
4096,512,66388
4096,512,66320
4096,1024,66407
4096,1024,66145
4096,1024,66238
4096,1024,66446
4096,1024,66304
4096,1024,66395
4096,1024,66540
4096,1024,66293
4096,1024,66540
4096,1024,66561
4096,2048,66574
4096,2048,66655
4096,2048,66566
4096,2048,66433
4096,2048,66561
4096,2048,66411
4096,2048,66241
4096,2048,66514
4096,2048,66445
4096,2048,66485
