n,s,time_in_milliseconds
2048,2,199
2048,2,118
2048,2,112
2048,2,311
2048,2,123
2048,2,118
2048,2,256
2048,2,141
2048,2,114
2048,2,265
2048,2,519
2048,2,664
2048,2,496
2048,2,290
2048,2,119
2048,2,161
2048,2,545
2048,2,116
2048,2,110
2048,2,120
2048,2,129
2048,2,113
2048,2,239
2048,2,129
2048,2,126
2048,2,289
2048,2,205
2048,2,108
2048,2,108
2048,2,106
2048,2,111
2048,2,106
2048,2,173
2048,2,145
2048,2,114
2048,2,116
2048,2,246
2048,2,107
2048,2,115
2048,2,109
2048,2,110
2048,2,108
2048,2,111
2048,2,196
2048,2,109
2048,2,110
2048,2,115
2048,2,188
2048,2,110
2048,2,111
2048,2,105
2048,2,111
2048,2,111
2048,2,113
2048,2,132
2048,2,110
2048,2,109
2048,2,115
2048,2,117
2048,2,110
2048,2,109
2048,2,111
2048,2,108
2048,2,112
2048,2,110
2048,2,111
2048,2,181
2048,2,115
2048,2,108
2048,2,116
2048,2,179
2048,2,122
2048,2,113
2048,2,109
2048,2,112
2048,2,110
2048,2,107
2048,2,177
2048,2,106
2048,2,109
2048,2,109
2048,2,151
2048,2,149
2048,2,126
2048,2,119
2048,2,129
2048,2,118
2048,2,109
2048,2,137
2048,2,108
2048,2,108
2048,2,105
2048,2,146
2048,2,130
2048,2,109
2048,2,116
2048,2,122
2048,2,146
2048,2,128
2048,2,146
2048,4,60
2048,4,78
2048,4,56
2048,4,55
2048,4,100
2048,4,54
2048,4,59
2048,4,56
2048,4,55
2048,4,64
2048,4,55
2048,4,56
2048,4,91
2048,4,56
2048,4,55
2048,4,59
2048,4,79
2048,4,56
2048,4,53
2048,4,56
2048,4,53
2048,4,53
2048,4,52
2048,4,54
2048,4,54
2048,4,100
2048,4,55
2048,4,55
2048,4,70
2048,4,60
2048,4,54
2048,4,54
2048,4,53
2048,4,54
2048,4,60
2048,4,56
2048,4,55
2048,4,55
2048,4,119
2048,4,54
2048,4,56
2048,4,57
2048,4,87
2048,4,59
2048,4,54
2048,4,54
2048,4,53
2048,4,54
2048,4,54
2048,4,55
2048,4,64
2048,4,58
2048,4,57
2048,4,64
2048,4,68
2048,4,115
2048,4,58
2048,4,60
2048,4,59
2048,4,63
2048,4,68
2048,4,56
2048,4,127
